#{"t_start": 1748053850.8665836, "env_id": "None"}
r,l,t
193.6925,1000,1255.850325
-4.639924,1,1255.876422
383.11548,1000,1260.879307
423.40063,1000,1260.879458
354.98532,1000,1261.477521
498.85773,1000,1261.777886
337.1645,1000,1268.122482
413.98236,1000,1278.694763
357.72382,1000,1282.00917
260.4095,1000,1283.514593
-4.678121,1,1283.544551
-4.620976,1,1283.575046
-4.327151,2,1283.634216
309.3743,1000,1288.623026
245.82437,1000,1288.623149
-4.6092663,1,1288.651761
224.90501,1000,1289.227097
268.42294,1000,1289.532769
313.49393,1000,1295.887468
170.15633,1000,1305.92693
159.0115,1000,1309.115432
165.98036,1000,1310.668454
231.99557,1000,1315.769621
234.87479,1000,1315.795217
-4.603013,1,1315.795316
250.84654,1000,1316.381709
290.07742,1000,1316.65825
448.10785,1000,1323.104626
109.062645,542,1323.863416
259.27676,1000,1333.181518
310.60928,1000,1337.976762
39.971893,140,1342.0506
243.24956,1000,1343.330019
255.31323,1000,1343.330148
283.79565,1000,1344.284349
416.68396,1000,1344.580087
-4.602787,1,1344.610886
-4.6174607,1,1344.638593
0.3529455,1,1344.660385
12.312112,97,1346.944713
37.36453,114,1347.748576
60.87495,168,1348.245821
287.72455,1000,1351.15538
283.02032,1000,1351.902939
-2.7738407,8,1352.125427
21.474207,116,1354.336654
184.44185,1000,1361.358651
76.00027,205,1366.973881
281.1034,1000,1370.013124
451.57095,1000,1371.268965
209.11707,1000,1374.501328
319.22125,1000,1375.373542
302.8316,1000,1375.857107
74.47364,238,1377.712988
271.07236,1000,1379.587914
325.93396,1000,1381.726547
-4.6325955,1,1381.756137
-4.6129394,1,1381.783683
223.98999,1000,1394.446639
246.31003,1000,1397.434739
400.90677,1000,1401.899912
314.62048,1000,1402.745492
224.49673,1000,1403.235088
316.28635,1000,1405.085115
268.58472,1000,1406.934202
420.46088,1000,1409.057867
-4.6270866,1,1409.085213
255.74388,1000,1421.39449
222.41096,1000,1424.398503
236.3812,1000,1428.790929
41.782658,164,1428.791058
170.64803,1000,1429.625432
196.54747,1000,1430.093992
265.04306,1000,1432.060109
261.50015,1000,1433.957567
323.81393,1000,1436.212782
-4.6192284,1,1436.237657
87.64366,410,1440.786284
185.5488,1000,1448.5725
58.66382,1000,1455.857474
272.0519,1000,1455.857603
0.38826543,1,1455.885882
501.62015,1000,1457.217329
240.22443,1000,1459.050176
-4.6400437,1,1459.076521
366.04114,1000,1460.912132
188.30704,1000,1463.176679
31.924557,165,1463.502772
198.23186,1000,1467.790869
20.515926,93,1470.354059
241.72481,1000,1475.859939
323.16156,1000,1483.393681
368.06198,1000,1483.420761
230.89879,1000,1484.755578
23.443031,93,1487.191685
525.9521,1000,1488.449764
291.15387,1000,1490.699732
348.74948,1000,1491.017856
-4.6066303,1,1491.045902
-4.6057296,1,1491.07375
-4.610934,1,1491.101209
61.92914,173,1491.811878
-4.619123,1,1491.839535
69.35953,239,1497.624761
175.10559,1000,1497.816463
-4.6116714,1,1497.84362
65.29479,191,1502.836725
317.84607,1000,1503.105892
377.56165,1000,1510.592795
579.58044,1000,1510.620632
387.6316,1000,1515.809122
-4.6345096,1,1515.83645
541.9354,1000,1518.143277
427.6095,1000,1519.369878
19.45661,92,1520.81652
333.24243,1000,1525.628836
78.636566,184,1526.036053
211.56177,1000,1530.751996
493.85187,1000,1531.025426
-4.606774,1,1531.053804
269.28723,1000,1538.726243
306.3617,1000,1538.755836
0.3843161,1,1538.785964
47.004734,142,1542.745748
0.8701683,3,1542.825491
321.49603,1000,1544.053674
-4.626735,1,1544.07546
28.604946,141,1546.707973
237.15567,1000,1547.530837
-4.6077585,1,1547.561118
67.00384,171,1548.807697
29.239296,94,1551.413993
61.73555,183,1551.761457
0.3946156,1,1551.793981
251.65575,1000,1553.620121
458.1555,1000,1554.004139
26.602802,90,1556.13761
74.307816,181,1556.885083
51.137577,198,1556.964318
8.306671,110,1557.102931
317.68304,1000,1558.734712
323.7624,1000,1559.036522
-4.6215506,1,1559.057081
21.40594,86,1561.353045
241.32657,1000,1566.514729
385.64444,1000,1575.098649
-4.621868,1,1575.125335
386.85953,1000,1583.711916
367.44882,1000,1584.429965
436.05197,1000,1584.51008
421.36676,1000,1584.650965
-4.605946,1,1584.67925
402.17322,1000,1586.334118
483.65012,1000,1589.000226
34.52786,219,1590.485771
333.21112,1000,1594.080947
-4.6108236,1,1594.109315
541.4737,1000,1602.742713
143.6758,1000,1611.182069
134.62344,1000,1611.944981
277.93863,1000,1612.198804
249.32977,1000,1613.833748
271.43652,1000,1616.584646
326.0517,1000,1618.11823
257.5078,1000,1621.731944
-4.619839,1,1621.758932
110.38234,253,1623.54753
-4.6193457,1,1623.57412
256.1734,1000,1630.626622
-4.6147895,1,1630.656759
198.10559,1000,1639.401166
243.3741,1000,1640.152477
220.88412,1000,1640.401758
354.82562,1000,1642.056642
31.58716,143,1646.11292
311.0645,1000,1646.414079
0.116939045,27,1646.813799
336.68048,1000,1650.035932
299.2808,1000,1651.931967
323.6932,1000,1658.913151
209.75134,1000,1667.517972
-4.6124334,1,1667.547706
211.42442,1000,1668.280859
440.40616,1000,1668.516271
126.328026,1000,1674.447796
366.9856,1000,1674.866195
86.670616,284,1676.181045
562.7174,1000,1678.042548
233.96286,1000,1679.933837
244.60774,1000,1687.064449
33.245686,138,1690.835074
183.96631,1000,1695.682974
277.88223,1000,1696.647917
-4.167137,3,1696.737144
31.091518,111,1699.878774
20.50081,1000,1702.780068
249.59834,1000,1703.208129
6.4587684,121,1703.41937
268.97467,1000,1704.546678
298.8727,1000,1706.500308
256.21817,1000,1708.340301
267.2859,1000,1719.5666
337.22076,1000,1724.406225
-4.6128488,1,1724.434571
243.6307,1000,1731.425226
-4.624949,1,1731.449627
-4.616761,1,1731.478029
0.39656034,1,1731.50795
341.69104,1000,1731.845376
329.3574,1000,1732.041998
437.88275,1000,1733.157673
160.53128,1000,1735.039774
-4.6167374,1,1735.068792
166.6076,1000,1736.86771
52.908936,167,1739.675654
98.91974,1000,1747.458925
298.88226,1000,1752.070439
-4.660539,1,1752.096385
278.9061,1000,1758.394112
344.56662,1000,1758.714808
195.3341,1000,1758.859313
301.24155,1000,1759.955649
-4.3400044,2,1760.012695
38.286514,142,1762.282402
148.28123,1000,1763.744745
331.5138,1000,1766.323718
-4.6043677,1,1766.344203
1.817157,25,1766.991987
-4.6004705,1,1767.012162
247.86021,1000,1773.872443
262.9164,1000,1779.206421
432.73575,1000,1787.319146
292.91785,1000,1787.558019
311.29358,1000,1788.838938
0.38680488,1,1788.870387
-4.6134524,1,1788.898712
227.47641,1000,1791.29857
286.24905,1000,1792.869848
284.15747,1000,1796.33618
312.8037,1000,1804.37935
277.20203,1000,1809.833881
-4.6073365,1,1809.867321
311.9052,1000,1818.257562
373.07202,1000,1818.474724
281.1054,1000,1819.868029
302.15555,1000,1822.281692
330.40817,1000,1823.871581
350.83145,1000,1827.807688
-4.611971,1,1827.841369
328.23746,1000,1835.535281
347.64148,1000,1840.620614
