#{"t_start": 1747809037.366212, "env_id": "None"}
r,l,t
30.76445,200,79.831243
43.849644,200,80.143251
24.743864,200,80.965943
13.878599,200,80.98553
6.11417,200,81.022593
12.328011,200,81.162073
11.854334,200,81.320344
25.931747,200,81.526389
31.120443,200,82.051973
48.704845,200,82.349458
47.05789,175,82.999781
9.31177,200,83.281236
11.138466,200,83.319777
14.55424,200,83.454664
61.48211,200,83.614858
21.303967,200,83.832838
27.322618,200,84.349148
9.114951,200,84.700023
29.863705,200,85.189253
3.6163385,200,85.46399
16.051708,200,85.505173
15.617448,200,85.641598
16.62922,200,85.83873
31.854446,200,86.047957
20.569183,200,86.621644
67.06257,200,86.942617
33.529903,200,87.431684
20.295952,200,87.731601
15.891038,200,87.772223
17.604109,200,87.891098
3.432349,200,88.036071
6.279381,200,88.240916
27.84997,200,88.776608
0.4322687,200,89.059103
34.50019,200,89.556674
51.609528,200,89.84079
63.062347,200,89.882945
52.971375,200,90.009838
28.196491,200,90.170843
1.8903009,200,90.365093
14.834105,200,91.052393
10.014964,200,91.412325
16.97847,139,91.630655
56.07153,200,92.020599
16.17119,200,92.33118
33.173893,200,92.456524
69.446594,200,92.620095
25.245192,200,92.810235
24.769175,200,93.358634
15.054102,200,93.73179
53.67884,200,93.856153
7.194661,200,94.248043
29.78591,200,94.686938
66.39896,200,94.856966
30.613008,200,95.083083
2.0902092,200,95.327591
-0.86257297,200,96.013587
18.473589,200,96.350885
16.326126,200,96.486686
47.212635,200,96.839007
3.3118873,200,97.158416
5.8889647,200,97.300956
32.993065,200,97.477136
-0.5153693,200,97.688362
8.701776,200,98.243666
43.737514,200,98.560023
29.54969,130,98.625856
16.801022,200,98.681839
19.594727,200,99.053472
26.927134,200,99.51324
-1.865154,200,99.666464
6.803149,200,99.877286
31.376925,200,100.507047
23.837654,200,100.875246
24.619938,200,100.949024
4.6271257,200,101.000268
14.963435,200,101.372219
25.508154,200,101.85627
9.153895,200,102.013259
-7.5396194,105,102.035648
0.53491205,200,102.235426
1.8975086,200,102.810545
16.815973,200,103.151695
10.242515,200,103.206147
6.1435328,200,103.59113
-7.3226724,66,103.867399
37.41992,200,104.028519
21.153776,200,104.175567
-1.9363194,200,104.196021
2.6106288,200,104.388665
24.358358,123,104.940734
41.134964,200,104.984183
31.191233,200,105.386279
5.7764,140,105.395051
-3.6363869,200,106.293518
6.64717,77,106.307069
16.042906,200,106.504646
17.888887,200,106.53261
9.714636,106,106.703701
7.4122143,200,106.780422
-2.5041022,47,107.39532
34.597004,200,107.46092
50.71108,200,107.510961
9.383375,200,108.991263
-7.2643785,200,109.002909
46.296524,200,109.152792
-1.8658719,200,109.173932
0.5905597,200,109.359601
36.78859,200,109.837198
30.106667,200,109.886364
47.00898,200,109.927676
3.9294975,121,110.502338
4.206592,200,111.325787
18.86948,200,111.340017
33.162888,200,111.549504
0.24396677,200,111.728275
-1.7843411,38,111.771293
11.841945,200,112.184428
26.409931,200,112.227472
27.746595,200,112.271885
-1.5135776,107,112.554244
-7.6661496,200,112.850473
5.8539577,105,112.92246
8.667198,141,113.080053
12.708378,101,113.344293
-3.535297,200,113.92161
33.357758,200,114.368702
21.553207,200,114.476115
38.32021,200,114.729299
-7.27299,200,115.026391
4.8848577,179,115.039233
21.46625,200,115.112043
43.68558,200,115.539175
8.440548,141,115.94684
8.414738,200,116.17337
-4.2615113,92,116.19054
-6.8424835,200,116.852954
6.8972063,200,117.192009
13.104129,200,117.598017
11.08949,200,117.614727
-2.73136,108,117.689757
0.6923857,200,118.26162
-1.079088,100,118.293034
0.91469467,200,118.707073
26.433743,200,118.885213
-3.5598497,34,119.289219
17.957521,200,119.879186
18.556286,200,120.254185
1.8882259,200,120.263161
5.810305,200,120.331163
-2.5871983,200,120.904757
0.85050976,200,120.936022
33.53326,200,121.31654
11.454312,200,121.916002
-6.431524,147,122.19699
-11.360282,200,122.459482
20.08505,198,122.826069
35.397705,200,122.836087
13.342096,200,123.341687
-2.8175662,200,123.3691
18.34066,200,123.720506
33.88832,200,124.394625
40.22818,200,124.626566
-1.3859895,200,124.836573
9.313193,200,125.137161
